フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ電話番号,問い合わせホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
27,POINT(136.939140639688 35.3089986012249),da010127,清流亭の藤樹,花房が１．８ｍにおよぶものがあり、４月下旬の開花期には訪れる人の目を楽しませてくれます。,小牧市役所,0568-76-1189,http://www.city.komaki.aichi.jp/admin/soshiki/kyoiku/bunkazai/1_1/2/bunkazai/shiteibunkazai/2/9112.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/07 11:51:20
28,POINT(136.720930618445 35.1743668016679),da020101,天王川公園,津島市の天王川（てんのうがわ）公園は、四季折々の景色が楽しめる憩いの場,津島市役所 建設産業部都市整備課,0567-24-1111,http://www.city.tsushima.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 13:11:14
29,POINT(136.689683909633 35.1614653988226),da020102,ハスの風景,愛西市の水田地域では７～８月にかけてハスの開花風景を見ることができ、自由に観賞できる蓮園（はすえん）も２か所あります。,愛西市観光協会,0567-55-9993,https://www.aisaikankou.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:30:02
30,POINT(136.676476632006 35.1380203093312),da020103,船頭平閘門,水位の異なる木曽川と長良川を行き来する船のために造られた水門。,船頭平閘門管理所　木曽川文庫,0594-24-6233,https://www.cbr.mlit.go.jp/kisokaryu/sisetu/bunko.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 13:18:55
31,POINT(136.719315201852 35.1044448883581),da020104,水郷の塔,弥富市の景観美を広く親しんでもらうため建てられたシンボルタワー,弥富市役所,0567-65-1111,http://www.city.yatomi.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 13:22:32
32,POINT(136.784860919401 35.049382775572),da020105,弥富野鳥園,羽を休めている多くの野鳥を観察できる弥富野鳥園,愛知県弥富野鳥園,0567-68-2338, https://www.aichi-park.or.jp/yachou/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:39:15
33,POINT(136.769131474854 35.2049941707013),da020106,蓮華寺寺叢,あま市（旧美和町）にある愛知県自然環境保全地域第１号の指定を受けた面積約2.2haの自然林,あま市役所　産業振興課,052-441-7114（直通）,https://www.city.ama.aichi.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:39:39
34,POINT(136.798267053859 35.178629093791),da020107,らかんまき,あま市（旧七宝町）の遠島八幡神社にある樹齢３００年を経ている県指定天然記念物,美和歴史民族資料館,052-442-8522,https://www.city.ama.aichi.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:40:28
35,POINT(136.816138097129 35.1972698206079),da020108,水辺乃並木道,あま市（旧甚目寺町）の福田川の河川敷を使った並木道,七宝焼アートヴィレッジ,052-443-7588,https://www.city.ama.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 13:37:28
36,POINT(136.762963263727 35.1041744077307),da020109,三ツ又池公園,弥富市の三ツ又池は、水郷地帯として市のシンボル的な存在です。,弥富市役所,0567-65-1111,https://www.city.yatomi.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 13:41:01
37,POINT(136.934956344862 34.8922655294014),da030101,半田運河,船方橋から北へ向かう入江沿いを中心に、黒板囲いの蔵が並び、美しいたたずまいを映しています,半田市観光協会,0569-32-3264,https://www.handa-kankou.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:45:47
38,POINT(136.851631715439 34.9145521233177),da030103,前山ダム公園,前山ダムの水辺の自然環境を活かした憩いとふれあいの場,常滑市環境経済部農業水産課,0569-35-5111,http://www.city.tokoname.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:46:39
39,POINT(136.888936600927 34.9609701188901),da030104,佐布里池,早春には２５種類約４６００本の梅が咲き、梅まつりが開催されます。,知多市観光協会,0562-51-5637,https://chita-kanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 13:46:57
40,POINT(136.890082961333 34.7888875871006),da030106,美浜町民の森,自然観察とハイキング、体験広場でのデイキャンプが楽しめます,美浜町役場産業建設部産業課,0569-82-1111　内線265,https://www.town.aichi-mihama.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:51:03
41,POINT(136.895565098943 34.8699894340969),da030107,壱町田湿地,県の天然記念物に指定されている植物を夏期の指定日に公開する。,武豊町歴史民俗資料館,0569-73-4100,http://www.town.taketoyo.lg.jp/contents_detail.php?co=cat&frmId=965&frmCd=4-1-1-7-0,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/01/18 14:28:35
42,POINT(137.159012780888 34.9575462762634),da040101,岡崎公園,岡崎市のシンボル岡崎城や三河武士のやかた家康館を中心とした歴史と文化の公園,岡崎市都市整備部公園緑地課,0564-23-7406,https://www.city.okazaki.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/22 09:05:49
43,POINT(137.39892424287 34.9389613350107),da040102,くらがり渓谷,岡崎市額田地区男川上流の、片麻岩と落葉樹のおりなす景観が見事な自然公園です。,くらがりキャンプセンター,0564-83-2057,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 13:57:15
44,POINT(137.057231290925 35.0588587104282),da040103,小堤西池のカキツバタ群落,刈谷市北端にあるカキツバタ自生地で、国指定天然記念物（昭和13年8月8日指定）,刈谷市役所文化観光課,0566-27-9652,https://www.kariya-guide.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/22 09:09:48
45,POINT(137.028542876151 34.9465781051694),da040104,都市に広がる集団農地,安城市の市街地近郊に広がる農地で、優良農地の保全、地域営農システムにより、担い手農家に対し農地の利用集積が進んでいる。,安城市役所産業環境部農務課農政係,0566-71-2233,https://www.city.anjo.aichi.jp/soshiki/sangyoshinkoubu/nomu.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/22 09:12:35
46,POINT(137.041582538284 34.8814869378707),da040105,稲荷山茶園公園,西尾市西部の矢作川に近い、美しい緑のうねが続く茶畑を一望できる高台の公園,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 09:58:42
47,POINT(137.047990237941 34.7233969042944),da040106,佐久島,西尾市一色町沖合三河湾の真ん中に浮かぶ漁業の島は、四季を通して楽しめるアウトドアリゾートの拠点。,西尾市佐久島振興課,0563-72-9607,http://www.sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:39:38
48,POINT(137.161736779607 34.8160665070089),da040107,三ヶ根山,旧幡豆町の屋根、三ヶ根山頂からは三河湾の眺望を楽しむことができます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:00:45
49,POINT(137.075239840148 34.8752515422001),da040109,八ツ面山（やつおもてやま）,西尾市街から北東へ２ｋｍ、標高６７ｍの八ツ面山は、三河平野と三河湾が見渡せる絶好の展望台です。中腹には国重要文化財の久麻久（くまく）神社本殿があります。,西尾市建設部公園緑地課,0563-65-2111,https://www.nishio.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:16:57
50,POINT(137.121304472152 34.8531818431928),da040110,平原（ひらはら）の滝,西尾市東部の山間に古くからある信仰の滝。飲めば長寿に、打たれれば病気も治ると伝えられている。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:02:20
51,POINT(137.117716071331 34.8555784289764),da040111,平原（ひらはら）ゲンジボタルの里,西尾市東部丘陵地にあるゲンジボタルの幻想的な光が乱舞する自然観察保護区域,平原ゲンジボタルの里保存会,090-9903-3098,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:19:23
52,POINT(137.062296864803 34.7904552401228),da040114,西尾市吉良町吉田沖の海苔粗朶,海上に点在する海苔粗朶（そだ）の風景は、吉良の海の特徴の1つです。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:03:59
53,POINT(137.090772119837 34.7808662802193),da040115,西尾市吉良町宮崎海岸,宮崎・恵比寿海水浴場があり、宿泊施設もあり、泊りで遊べます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:05:46
54,POINT(137.162501985929 34.8153633648218),da040116,三河湾の彼方に沈む夕日,冬でも波静かな旧幡豆町の海岸は、隠れた夕日スポットがいっぱいです。Мy”夕日スポット”を見つけよう。,西尾市観光協会,0563-57-7882,http://nishiokanko.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:06:56
55,POINT(137.202941996191 34.8551952272542),da040117,遠望峰山（とぼねやま）,幸田町と蒲郡市にまたがる遠望峰山は標高４４３m。山頂からは、幸田町、蒲郡市、三河湾が一望できる。,幸田町役場環境経済部産業振興課商工観光グループ,0564-62-1111(内線261・262）,https://www.town.kota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:08:39
56,POINT(137.043611034728 34.775463783401),da040118,三河湾に広がる一色干潟,一色干潟は、西尾市一色町から吉良町の沿岸に広がる三河湾最大の干潟です。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:09:21
57,POINT(137.034369843977 34.7263218091648),da040119,「三河湾の黒真珠」佐久島,西尾市一色町佐久島内集落の路地では黒く塗られた板壁が連なり、その風景から佐久島は「三河湾の黒真珠」といわれています。,西尾市役所佐久島振興課,0563-72-9607,http://www.sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:40:17
58,POINT(137.044559795831 34.7172902615827),da040120,「佐久島のお庭」,西尾市一色町佐久島の離れ小島「大島」に渡ると、植樹した梅園の中に「佐久島のお庭」が現われる。,西尾市役所部佐久島振興課,0563-72-9607, http://www.sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:40:40
59,POINT(137.011593743837 34.9064776993354),da040121,油ヶ淵,碧南市にある油が淵は、愛知県で最大規模の自然湖。鯉、鮒、ボラなどの釣りが楽しめます。,碧南市観光協会,0566-95-9894,https//www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:15:01
60,POINT(136.973183469491 34.8459867175288),da040122,碧南市前浜新田の松並木,碧南市前浜旧堤防に連なる深緑の松,碧南市役所　都市整備課   ,0566-410-3311(441),https://www.city.hekinan.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:08:39
61,POINT(137.234463422141 35.0719693656158),da050101,王滝渓谷,四季折々に変化する山々と渓谷が織りなす、自然美豊かなスポット。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:43:21
62,POINT(137.120738597746 35.0052980474783),da050102,明治緑道（水車公園）,明治用水の歴史がわかります。,豊田市公園緑地つかう課,0565-34-6621,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:27:27
63,POINT(137.178516498434 35.0487029038103),da050103,水源公園,豊田市内最大の桜の名所です。,豊田市公園緑地つかう課,0565-34-6621,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:30:06
64,POINT(137.227346614401 35.1009010048398),da050104,鞍ヶ池公園,豊かな自然と四季の移ろいを感じることの出来る公園。,豊田市公園緑地つくる課,0565-80-5310,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 15:37:09
65,POINT(137.188214713392 35.1203857483783),da050105,枝下（しだれ）用水,東海疎水百選にも選ばれた名用水。,水土里ネット豊田（豊田土地改良区）,0565-28-2855,http://toyotochi.org/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/01 15:25:36
66,POINT(137.224232129513 35.1174713069988),da050106,鷹見の里（たきみのさと）ビオトープ,身近な地域の自然を守り育てる活動を続けています。,豊田市立上鷹見小学校,0565-41-2017,http://www2.toyota.ed.jp/swas/index.php?id=s_kamitakimi,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
67,POINT(137.285732017278 35.0617703839146),da050107,六所山（ろくしょさん）,荘厳な空気に満ちた巨木林と多彩な昆虫や野鳥観察が楽しめる山,豊田市こども部次世代育成課,0565-34-6630,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 16:07:16
68,POINT(137.285732017278 35.0617703839146),da050108,焙烙山（ほうろくさん）,豊田市最高峰で、市民が運び上げた石で作られた「２１世紀の城」が昭和６０年１１月に完成しています。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:57:12
69,POINT(137.170993717769 35.2011664913185),da050109,猿投山・菊石,原生林で森林浴を兼ねたハイキングと菊石の不思議さを見ます。,ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:58:25
70,POINT(137.260974154691 35.0505599067575),da050110,松平郷・散策道,５つの自然歩道を踏破してみませんか？,松平観光協会,0565-77-8089,http://www.matudaira-sato.com/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
71,POINT(137.195837339875 35.205408853002),da050111,しだれ桜（金剛寺）,樹齢３００年の豪勢な桜の木,藤岡観光協会,0565-76-6108,http://www.fujioka-kanko.com/html/sidaresakura.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
72,POINT(137.247754344288 35.1950456591003),da050112,ふじの回廊,藤岡の花である「ふじ」をテーマにした散策路です。,藤岡観光協会,0565-76-6108,http://www.fujioka-kanko.com/html/fujinokairo.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/01 16:00:30
73,POINT(137.310260885517 35.2447471571136),da050113,四季桜・四季の回廊,小原の文化・歴史・四季折々の豊かな自然に触れることができます,豊田市小原観光協会,0565-65-3808,https://www.kankou-obara.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/01 15:51:40
74,POINT(137.311523704725 35.1329124462367),da050114,香嵐渓,4000本の紅葉がある渓谷。カタクリ、紅葉の時期は行楽客で一杯になり、夏は川遊びも楽しめます。,豊田市足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 09:22:41
75,POINT(137.314041787522 35.1358120877142),da050115,中馬街道,塩の道「中馬街道」で、足助の黄金時代の礎を見ます。,豊田市足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/02 11:05:09
76,POINT(137.392653661363 35.1030493650466),da050116,田之士里湿原,美しくかわいい可憐な花の見学をどうぞ。,西三河県民事務所　豊田加茂環境保全課,0565-32-7494,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 09:36:21
77,POINT(137.315683778376 35.1335925066321),da050117,カタクリ,香嵐渓の飯盛山麓の北面斜面に、約５，０００㎡の大群落をつくって咲く。,豊田市足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 09:48:20
78,POINT(137.375562815749 35.0768926573756),da050118,三河高原,高原牧場でのんびり草を食べている牛の見学。,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/spot3_139.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/02 11:12:31
79,POINT(137.405338860654 35.0331528299527),da050119,三河湖,春は山ツツジ、夏はカジカガエルが鳴き、秋は紅葉が楽しめます。,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/spot3_183.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/02 11:14:43
80,POINT(137.363597305544 35.0669425173697),da050120,もみじ街道（加茂広域農道）,秋の紅葉を楽しみながら、爽やかなドライブ,豊田市役所下山支所,0564-86-2111,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
81,POINT(137.358341372124 35.0276831283824),da050121,羽佐の窪渓谷,三河湖の近く、爽やかな渓流の水が流れる,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 13:56:16
82,POINT(137.420025302874 35.0829378423604),da050122,保殿の七滝（ほでんのななたき）,野原川の上流で、随所に七つの滝がある,香恋の里しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/spot3_140.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 10:09:29
83,POINT(137.413602569473 35.196786188735),da050123,東海自然歩道,小鳥のさえずりと爽やかな風を感じながら、心地よいハイキング,豊田市役所旭支所,0565-68-2211,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
84,POINT(137.324881124122 35.1968444583702),da050124,お須原山縁結び岩,縁結びの願を届けてみませんか。,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/24 13:48:05
85,POINT(137.360609403121 35.2034000795943),da050125,貞観杉,１０００年以上、森を見守り続けてきた森の神様に会いに行こう。,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:04:22
86,POINT(137.384040049286 35.2422303014234),da050126,時瀬大いちょう,県下最大の大いちょう。３００年の歴史を感じてみませんか。,豊田市旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/03 14:05:53
