フィーチャID,形状(WKT),ルートID,名称,問い合わせ先,ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
14,POINT(137.061761770772 35.1851565490319),rt010201/rt010202/rt010203,あぐりん村,0561-64-2831,http://www.nagakuteonsen.jp/agrin/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 14:06:01
15,POINT(137.006297960377 35.0410161649192),rt010202,愛知豊明花き地方卸売市場,0562-96-1199,http://www.toyoake.or.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 14:24:44
16,POINT(137.010938058726 35.1141216757931),rt010202/rt010203,名古屋市農業センター delaふぁーむ,052-801-5221,http://www.city.nagoya.jp/kurashi/category/19-8-4-2-2-0-0-0-0-0.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 14:29:17
17,POINT(137.05373581541 35.0973388934808),rt010203,東郷町文化産業まつり,東郷町 0561-38-3111,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
18,POINT(137.111675951537 35.1878758049686),rt010203,あいち海上の森センター,0561-86-0606,https://www.pref.aichi.jp/soshiki/kaisho/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 11:36:59
19,POINT(136.877371317033 35.2780558700919),rt010301,五条川の桜と尾北自然歩道,岩倉市商工農政課 0587-38-5812,https://www.city.iwakura.aichi.jp/category/3-11-0-0-0.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:42:20
20,POINT(136.858171637271 35.3492658816735),rt010301,曼陀羅寺公園のフジ,江南市役所都市計画課 ,https://www.city.konan.lg.jp/shisetsu/kouen/1002997/1003002.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/07 13:31:20
21,POINT(136.99383529852 35.3366727144682),rt010301,入鹿池,水土里ネット愛知 052-551-3611,http://www.aichi-doren.or.jp/map14.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 13:17:28
22,POINT(136.984640768425 35.3701018799389),rt010301/rt010302,犬山里山学センター,犬山里山学センター 0568-65-2121,https://www.city.inuyama.aichi.jp/kurashi/manabu/1000897/1001519/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 13:23:19
23,POINT(136.900172547434 35.3745243117333),rt010302,木曽川扶桑緑地公園,丹羽郡扶桑町大字小渕字砂原 0587-93-2441（総合体育館）,http://www.town.fuso.lg.jp/seisaku/shisetsu/011.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 14:57:23
24,POINT(136.879638689624 35.3706011999154),rt010302,すいとぴあ江南,江南市草井町西２００ 0587-53-5111,https://suitopia.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 14:58:49
25,POINT(136.847742320525 35.0737956089592),rt010401,藤前干潟,稲永ビジターセンター 052-389-5821,http://chubu.env.go.jp/wildlife/fujimae/institution/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/21 14:46:06
26,POINT(136.84124275311 35.2164593836986),rt010401,清須の自然と歴史,清洲公園・清洲古城跡公園 ,http://www.city.kiyosu.aichi.jp/shisetsu_annai/kanko_shisetsu_sonota/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:43:54
27,POINT(136.841279236771 35.2375891154178),rt010401,五条川の桜,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
28,POINT(136.812715854655 35.1152374312466),rt010401,農業文化園と戸田川緑地公園,戸田川緑地管理センター 052-302-5321,http://www.bunkaen-todagawa.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 15:18:23
29,POINT(136.992280714693 35.271677604392),rt010501,落合公園の桜,春日井市 公園緑地課 0568-81-5111,https://www.city.kasugai.lg.jp/shimin/bunka/sports/asamiya/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 15:13:11
30,POINT(136.961095043154 35.2549791788415),rt010501,朝宮公園,春日井市経済振興課 0568-85-6246,https://www.city.kasugai.lg.jp/shimin/bunka/sports/asamiya/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 15:16:30
31,POINT(137.049819542991 35.2511851459818),rt010501/rt010502,東谷山フルーツパーク,名古屋市守山区大字上志段味字東谷2110 052-736-3344,https://www.fruitpark.org/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 15:25:51
32,POINT(136.968894222047 35.2970889887568),rt010502,ＪＡ尾張中央桃選果場,小牧東部営農生活センター　 0568-79-8000,https://ja-owari-chuoh.or.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/08/26 16:05:33
33,POINT(136.995401329288 35.3191602868974),rt010503,兒（ちご）の森,小牧市堀の内3-1  0568-76-1179(小牧市こども政策課)  ,http://www.city.komaki.aichi.jp/admin/life/kosodate/kosodateshisetsu/15564.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/07 13:34:14
34,POINT(137.002958316207 35.313122190845),rt010503,市民四季の森,小牧市大字大草5786-1 0568-78-4554,http://www.city.komaki.aichi.jp/admin/event_1/midokoro/shiminshikinomori/16809.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 15:34:37
35,POINT(137.056858640841 35.3036911204408),rt010503,春日井市都市緑化植物園(グリーンピア春日井),春日井市細野町3249番地1 0568-92-8711,https://www.city.kasugai.lg.jp/shisetsu/sonota/syokubutsuen/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/07 13:36:04
36,POINT(137.055274276822 35.3043567280592),rt010503,少年自然の家,春日井市廻間町1102-1 0568-92-8211,https://www.spofure-kasugai.or.jp/natures/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 15:48:09
37,POINT(136.913334551839 35.2937312289314),rt010501/rt010502,小牧山,小牧山(小牧市歴史館） 0568-72-0712,http://www.city.komaki.aichi.jp/admin/event_1/events/bunkazai/1/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/07 13:39:46
38,POINT(136.689683909633 35.1614653988226),rt0201,花ハス,愛西市観光協会 0567-55-9993,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 15:56:16
39,POINT(136.690357423958 35.2078378935012),rt0201,れんこん,ＪＡあいち海部 0567-28-6688,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:43:16
40,POINT(136.725233363275 35.1013475675288),rt0201,立田輪中人造堰樋門,弥富市中山（輪中公園内） 0567-65-4355（弥富市歴史民俗資料館）,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/02 16:03:33
41,POINT(136.694383044323 35.1441941811644),rt0201/rt0204,立田ふれあいの里,0567-23-1011,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:47:15
42,POINT(136.721016853725 35.106199965799),rt0201/rt0204,弥富市歴史民俗資料館,0567-65-4355,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:45:24
43,POINT(136.719053771245 35.1782811361023),rt0202,津島神社,0567-26-3216,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:49:44
44,POINT(136.720930618445 35.1743668016679),rt0202,天王川公園,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:50:03
45,POINT(136.711719616918 35.1644978602053),rt0202,グリーンセンター津島店,0567-23-3511,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:50:29
46,POINT(136.71933891168 35.176335083659),rt0202,堀田家住宅,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:51:29
47,POINT(136.733767193905 35.113782274319),rt0203,金魚、金魚池,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
48,POINT(136.786480767068 35.0830302363138),rt0203,海部南部味噌,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
49,POINT(136.792334603552 35.1315014424672),rt0203,海部水郷地帯の酒,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
50,POINT(136.778158115828 35.1337014295422),rt0203,尾張温泉,蟹江町観光協会事務局  0567-58-1360,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/21 13:49:42
51,POINT(136.719315201852 35.1044448883581),rt0204,水郷の塔,"",https://www.city.yatomi.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:56:03
52,POINT(136.784860919401 35.049382775572),rt0204,弥富野鳥園,0567-68-2338,https://www.aichi-park.or.jp/yachou/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 15:59:34
53,POINT(136.769131474854 35.2049941707013),rt0205,蓮華寺寺叢,052-444-1272,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
54,POINT(136.799736634281 35.1838799374143),rt0205,七宝焼アートヴレッジ,052-443-7588,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
55,POINT(136.785237227556 35.1686819266218),rt0205,JA海部東グリーンプラザ,0567-23-7380,https://www.ja-amahigashi.or.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/21 13:45:26
56,POINT(136.823598807613 35.1936854304845),rt0205,甚目寺歴史民俗資料館,052-443-0145,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
57,POINT(136.742310601271 35.1206364422355),rt0206,水の館,0567-65-5225　,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
59,POINT(136.747158427804 35.1123780244617),rt0206,ＪＡあいち海部グリンセンター十四山店（菜々耕房）,0567-28-6688,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/21 13:47:11
60,POINT(136.774574789363 35.0845788846691),rt0206,飛島村大宝排水機場保存館,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
61,POINT(136.851631715439 34.9145521233177),rt0301,前山ダム公園,"","","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
62,POINT(136.866916046395 34.8555163797801),rt0301,多賀の里,0569-34-8630,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
63,POINT(136.867315675108 34.8236766260637),rt0301,小脇公園,0569-37-1531,http://www.city.tokoname.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:10:24
64,POINT(136.866121803249 34.8273157234361),rt0301/rt0308,盛田味の館,0569-37-0733,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
65,POINT(136.888936600927 34.9609701188901),rt0302,佐布里池,知多市観光協会  0562-51-5637,http://chita-kanko.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:06:59
66,POINT(136.822690042032 34.9552655156345),rt0302,新舞子マリンパーク,0562-56-3980,http://www.marine-park.jp/info/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 16:11:53
67,POINT(136.868036783702 34.999070839794),rt0302/rt0305,知多市歴史民俗博物館,0562-33-1571,http://www.city.chita.lg.jp/soshiki/museum/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:15:46
68,POINT(136.888631283292 34.9670724080865),rt0302/rt0306/rt0308,佐布里緑と花のふれあい公園,0562-54-2911,http://www.sourifureai.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:17:02
69,POINT(136.844636535661 34.7578182495021),rt0303,野間崎灯台,美浜町役場 0569-82-1111,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
70,POINT(136.890082961333 34.7888875871006),rt0303,美浜町民の森,美浜町役場　産業建設部　産業課　農政係 0569-82-1111　内線265,https://www.town.aichi-mihama.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:19:43
71,POINT(136.847166001525 34.7562112189941),rt0303/rt0305/rt0310,食と健康の館,0569-83-3600,http://www.shio-yakata.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:22:18
72,POINT(136.879102210794 34.8011135270615),rt0303/rt0307/rt0308/rt0312,ジョイフルファーム鵜の池,0569-87-6080,https://www.joyful-f.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:24:48
73,POINT(136.883329753302 34.8016913871159),rt0303/rt0307/rt0308/rt0312,鵜の池,美浜町役場 0569-82-1111,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/05 16:18:58
74,POINT(136.910635175662 34.9096334319322),rt0304,黒牛の里,0569-23-8672,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
75,POINT(136.934366226196 34.8930812650535),rt0304,MIZKAN MUSEUM,0569-24-5111,http://www.mizkan.co.jp/mim/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 13:30:05
77,POINT(136.934936695878 34.8953666066623),rt0304,國盛　酒の文化館,0569-23-1499,https://www.nakanoshuzou.jp/museum/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 13:46:05
78,POINT(136.897783072233 34.890899863933),rt0304,ファーマーズマーケット　ブリオ,0569-20-5410,http://www.fm-brio.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 13:49:52
79,POINT(136.934956319551 34.8922745442238),rt0304/rt0309,半田運河,半田市観光協会 0569-32-3264,https://www.handa-kankou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 13:55:49
80,POINT(136.862577442022 34.8160292053353),rt0305,坂井海岸,小鈴谷漁業組合 0569‐37‐0217,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 14:03:58
81,POINT(136.943302363089 34.993941017241),rt0305/rt0306/rt0311,ＪＡあぐりタウン　げんきの郷,0562‐45‐4080,http://www.agritown.co.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 14:13:44
82,POINT(136.938171818899 34.7065353850215),rt0305/rt0308,豊浜魚ひろば,魚ひろば事務局 0569‐65‐0483,http://sakanahiroba.net/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 14:23:49
83,POINT(136.962572336197 34.9726168602095),rt0306,東浦町郷土資料館　うのはな館,0562‐82‐1188,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 14:35:45
84,POINT(136.906865799654 35.0221836611671),rt0306,東海市立農業センター,052-601-8731,http://www.city.tokai.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:13:23
85,POINT(136.951889250825 34.9903235773292),rt0306/rt0311,東浦町森岡ぶどう組合,東浦町森岡ぶどう組合 0562-84-0219,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
86,POINT(137.002458238956 34.707152838958),rt0307,自然、漁業体験,日間賀島観光協会 0569-68-2388,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
88,POINT(136.91478270809 34.8558503089547),rt0309,武豊町歴史民俗資料館,0569-73-4100,http://www.town.taketoyo.lg.jp/category_list.php?frmCd=4-2-3-0-0,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2021/01/18 15:27:22
89,POINT(136.86936760124 34.7332159056281),rt0310,内海海水浴場,南知多町観光協会 0569-65-0711,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 15:04:18
90,POINT(136.929530842871 34.7048059976294),rt0310,豊浜鯛祭り,南知多町観光協会 0569-65-0711,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 15:05:31
91,POINT(137.003142424268 34.6812170940465),rt0312,コウナゴの天日干しの,篠島観光協会 0569-67-3700,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 15:15:34
92,POINT(137.319732833498 34.9866939732436),rt0401,かおれ渓谷,岡崎市環境部環境政策課 0564-23-6921,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 15:26:35
94,POINT(137.159012780888 34.9575462762634),rt0401/rt0402/rt0403,岡崎公園,岡崎市土木建設部公園緑地課 0564-23-6250,https://www.city.okazaki.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 15:29:16
95,POINT(137.15230046021 34.9582037481254),rt0401/rt0402/rt0403,八丁蔵通り,岡崎市経済振興部観光促進課 0564-23-6384,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/12/22 09:34:29
96,POINT(137.184330162282 35.0156453352634),rt0402,おかざき自然体験の森,0564-45-5544,https://okazaki-kanko.jp/mizutomidori/shizen-taiken,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 15:57:28
97,POINT(137.177047915142 34.877539202455),rt0402,幸田憩いの農園,0664-62-4339,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
98,POINT(137.181107997894 34.8373979086636),rt0402,本光寺,幸田町観光協会 0564-62-1111,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/06 16:02:42
99,POINT(137.333873119599 34.9269703887309),rt0403,男川ヤナ,0564-82-2089,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
100,POINT(137.221811737625 34.9115493407492),rt0403,藤川宿資料館,岡崎市観光協会 0564-64-1637,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 10:31:47
101,POINT(137.39892424287 34.9389613350107),rt0403,くらがり渓谷,くらがりキャンプセンター　 0564-83-2057,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
102,POINT(137.081848136464 34.8420813420611),rt0404,赤馬の径,一般社団法人西尾市観光協会 0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 10:40:32
103,POINT(137.051688559099 34.8359263942323),rt0404,西尾市憩の農園、バラ園,西尾市憩いの農園 0563-56-8168,https://www.ja-nishimikawa.or.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 10:44:12
104,POINT(137.048430754681 34.8662135063063),rt0404,西尾市歴史公園,一般社団法人西尾市観光協会 0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 10:48:32
105,POINT(137.038556328264 34.8788604489743),rt0404/rt0405,西尾の抹茶工場見学,一般社団法人西尾市観光協会 0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 10:42:00
106,POINT(137.053910316551 34.8743682009994),rt0405,西尾市岩瀬文庫,西尾市教育委員会文化振興課（西尾市岩瀬文庫内） 0563-56-2459,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
107,POINT(137.065194701938 34.8066486852457),rt0405/rt0406,尾崎士郎記念館、旧糟谷邸,尾﨑士郎記念館 0563-32-4646,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 10:52:40
108,POINT(137.014054740316 34.7945782753335),rt0405/rt0406/rt0407,一色さかな広場、さかな村,一色さかなセンター(株) 0563-72-3700 西三河漁業協同組合 0563-72-8281,http://www.sakanahiroba.com/ http://www.nishimikawagyokyou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 10:56:42
109,POINT(137.144527789077 34.7885597372501),rt0406,三河湾観光漁船,東幡豆漁業協同組合 0563-62-2068,https://higasihazu-gk.wixsite.com/higashihazu,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:03:26
110,POINT(137.072623678379 34.8095214283344),rt0406,金蓮寺弥陀堂,西尾市教育委員会文化財課 0563-56-2459,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:14:54
111,POINT(137.035277788653 34.725277036129),rt0407,大葉邸,西尾市役所佐久島振興課 0563-72-9607,http://sakushima.com/guide-top/art-top/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:20:20
112,POINT(137.046048109222 34.7224213616407),rt0407,シーサイドプロムナード,西尾市役所佐久島振興課 0563-72-9607,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:21:06
113,POINT(137.035069269795 34.725943930997),rt0407,黒壁の家並み,西尾市役所佐久島振興課 0563-72-9607,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:21:49
114,POINT(137.034403204519 34.7259432097426),rt0407,弁天サロン,佐久島弁天サロン 0563-78-2001,http://sakushima.com/guide-top/benten-salon,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:23:40
115,POINT(137.027696371078 34.8056902893774),rt0407,一色学びの館,一色学びの館 0563-72-3880,https://isshiki-ccp.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:28:53
116,POINT(137.318499790262 35.1372849661347),rt0501,中馬館,0565-62-0878,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
118,POINT(137.332516539213 35.1388892075742),rt0501,百年草,0565-62-0100,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
119,POINT(137.31391007543 35.1297003975996),rt0501,三州足助屋敷,0565-62-1188,http://asukeyashiki.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:43:52
120,POINT(137.385284347387 35.1161069319844),rt0501,鼎工房,0565-62-2693,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
121,POINT(137.314041787522 35.1358120877142),rt0501,中馬街道,足助観光協会 0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:47:37
122,POINT(137.260974154691 35.0505599067575),rt0502,松平郷,松平観光協会 0565-77-8089,http://www.matudaira-sato.com/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:55:19
123,POINT(137.392653661363 35.1030493650466),rt0502,田之土里湿原,愛知県豊田加茂事務所環境保全課 0565-32-7494,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 11:56:51
124,POINT(137.375562815749 35.0768926573756),rt0502,三河高原,香恋の里しもやま観光協会 0565-90-3530,http://www.karen-shimoyama.jp/spot3_139.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 13:11:14
125,POINT(137.405338860654 35.0331528299527),rt0502,三河湖,香恋の里しもやま観光協会 0565-90-3530,http://www.karen-shimoyama.jp/spot3_183.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 13:12:39
126,POINT(137.384002570865 35.0423608269344),rt0502,手作り工房山遊里,0564-87-1186,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
127,POINT(137.396463247689 35.0377223651675),rt0502,香恋の館,香恋の里　香恋の館 0565-86-4120,http://www.karennosato.com/yakata/index01.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 13:45:16
128,POINT(137.502876637349 35.2136534872241),rt0503,どんぐり横丁,0536-82-3666,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
129,POINT(137.486109014107 35.2513427824594),rt0503,押川大滝,いなぶ観光協会 0536-86-3200,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
130,POINT(137.503692274044 35.2143363112309),rt0503,どんぐり工房,0536-86-3838,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
131,POINT(137.464054432213 35.1972767661872),rt0503,モッキー,0536-82-2311,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
132,POINT(137.463999293819 35.197213800773),rt0503,郷土資料館「ちゅーま」,0565-82-3439,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
133,POINT(137.507790793162 35.214685407395),rt0503,古橋懐古館,0536-82-2100,http://kaikokan.org/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:01:36
134,POINT(137.170993717769 35.2011664913185),rt0504,猿投山と菊石,豊田市観光協会（豊田市役所商業観光課内） 0565-34-6642,http://www.citytoyota-kankou-jp.org/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:10:48
135,POINT(137.29224366849 35.2754970818036),rt0504,大福魚苑,0565-65-2648,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
136,POINT(137.294361383237 35.2380312432284),rt0504,和紙のふるさと,0565-65-2151,http://washinofurusato.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:35:51
137,POINT(137.087939689485 35.0928135577047),rt0504,三好公園,みよし市観光協会 0561-34-6000,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:21:54
138,POINT(137.075875027158 35.0829792087598),rt0504,保田ケ池公園,みよし市役所 0561-32-2111,http://www.city.aichi-miyoshi.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2020/11/09 14:23:41
139,POINT(137.09064308794 35.0752638403375),rt0504,さんさんの郷,0561-34-6111,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
140,POINT(137.39944839395 35.1972379013495),rt0505,つくば工房,0565-68-2611,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,""
