フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
55,POINT(136.91391153749 35.3591846882912),da010543,ふれあい青空市（扶桑町）,新鮮な野菜等の即売を行っています。,ＪＡ愛知北扶桑支店,0587-93-2211,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/17 09:41:28
56,POINT(136.869843037475 35.3438144853597),da010543,まんだら青空市（JA愛知北江南支店）,自然豊かな曼陀羅寺にて、新鮮な農産物を提供しています。,JA愛知北江南支店,0587-55-2275,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/17 09:41:11
57,POINT(136.857676400402 35.349300673389),da010543,まんだら青空市（曼陀羅寺公園大型バス駐車場）,自然豊かな曼陀羅寺にて、新鮮な農産物を提供しています。,JA愛知北江南支店,0587-55-2275,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/11/17 09:42:12
58,POINT(136.871945947798 35.282739213644),da010543,岩倉野菜の広場,新鮮な野菜等の即売を行っています。,岩倉市役所建設部商工農政課,0587-38-5812,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
59,POINT(136.939391828035 35.3803284268644),da010543,犬山どんでん朝市,新鮮な野菜等の即売を行っています。,犬山まちづくり株式会社,0568-65-0002,http://www.inuyama-tmo.com/asaichi.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
60,POINT(136.910223647158 35.3283754204725),da010543,大口町朝市会,新鮮な野菜等の即売を行っています。,大口町朝市会,"","","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
61,POINT(136.863897126603 35.2772927420852),da010544,産直センター岩倉店,消費者の方に安心してご購入いただけるよう、安全安心な野菜づくりに励んでいます。,ＪＡ愛知北産直センター岩倉店,0587-38-3301,http://www.ja-aichikita.or.jp/agri/sanchoku.php,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/02 11:20:38
62,POINT(136.936755709093 35.3861646026427),da010545,犬山頭首工,濃尾平野の宮田、木津、羽島の３用水を合口した犬山頭首工が昭和３０年代に築造され、農業用水の安定確保に寄与している。,犬山頭首工管理所,0568-61-1003,https://www.maff.go.jp/tokai/noson/kisocho/inuyama/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 09:44:43
63,POINT(136.812715854655 35.1152374312466),da010546,農業文化園・戸田川緑地,名古屋市の南西部、戸田川沿いに位置し、花と水と自然に恵まれた場所にあり、農業の必要性と花を愛する心を育む市民憩いの施設として、平成元年5月に開園しました。,戸田川緑地管理センター,052-302-5321,http://www.bunkaen-todagawa.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 09:47:52
64,POINT(136.86022053064 35.1031701733384),da010547,荒子川公園ガーデンプラザ,市民の緑化意識の啓発を目的としてオープン。館内には、緑に関する相談コーナーのほか講習会や展示会も開かれ、気楽に訪れることができます。,荒子川公園ガーデンプラザ,052-384-8787,http://www.nga.or.jp/park/arako1-html/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 09:50:04
65,POINT(136.886338103511 35.2151479262497),da010548,庄内緑地公園・グリーンプラザ,緑豊かな環境の中で、自然と触れ合いながら運動や、展示会・講習会を通して、緑化に関する情報提供・緑化普及啓発などを行う複合施設。,庄内緑地公園・グリーンプラザ,052-503-1010,http://www.nga.or.jp/park/syonai-html/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 09:52:08
66,POINT(136.816183130807 35.109992045809),da010549,ＪＡなごや南陽店,名古屋市港区南陽町地区でとれた農産物の直売コーナーがあり、生産者は、南陽ひまわりグループ４名で構成しています。,ＪＡなごやＡコープ南陽店,052-301-8709,https://www.ja-nagoya.or.jp/store/detail.php?id=46,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 09:55:58
68,POINT(136.854721258496 35.2449802000014),da010551,グリーン西春日井,毎年１１月中旬頃にＪＡ西春日井農業祭を開催します。,グリーン西春日井,0568-24-1662,http://ja-nishikasugai.com/f-new-uridashi.htm,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
69,POINT(136.919843588428 35.2538383804811),da010552,名古屋空港・地元産品コーナー,１階出発ロビー「スカイショップ翼」にて定期的にご当地の味を全国に紹介する特設コーナーを開いています。,名古屋空港ビルディング　スカイショップ翼,0568-28-6668,https://nagoya-airport.jp/shop/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 10:08:50
70,POINT(136.998243778326 35.0933892253235),da010553,ＪＡみどり徳重支店朝市,名古屋市南東部の豊かな自然に育まれた農産物の直売が行われています。,ＪＡみどり徳重支店,052-876-0437,https://www.jamidori.or.jp/asaichi/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 10:11:31
71,POINT(136.976086490357 35.1225996516818),da010553,ＪＡ天白グリーンセンター,名古屋市南東部の豊かな自然に育まれた農産物の直売が行われています。,ＪＡ天白グリーンセンター,052-807-7911,http://www.jatenpaku.jp/sale.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,""
72,POINT(136.694383044323 35.1441941811644),da020501,道の駅「立田ふれあいの里」,木曽川にかかる立田（たつた）大橋のそばにある、訪れる人の憩いの場。,道の駅「立田ふれあいの里」,0567-23-1011,http://www.tatsuta-fureai.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 10:18:07
73,POINT(136.799736634281 35.1838799374143),da020502,七宝焼アートヴィレッジ,「尾張七宝」として伝統的工芸品の指定を受けた七宝焼の総合施設,七宝焼アートヴィレッジ,052-443-7588,https://www.city.ama.aichi.jp/shisetsu/1004076/1004566/1004117.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/05 15:52:45
74,POINT(136.778929647691 35.1329827430209),da020503,尾張温泉（湯元館）,蟹江町にある泉温５５度の源泉かけ流し天然温泉。,湯元館,0567-95-3454,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
75,POINT(136.778158115828 35.1337014295422),da020503,尾張温泉（尾張温泉東海センター）,蟹江町にある泉温５５度の源泉かけ流し天然温泉。,尾張温泉東海センター,0567-95-3161,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/21 13:52:08
76,POINT(136.742310601271 35.1206364422355),da020504,水の館,弥富市にある水を総合的に捉えた資料館,海部土地改良区,0567-65-5225,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
77,POINT(136.725233363275 35.1013475675288),da020505,立田輪中人造堰樋門,輪中の用排水に苦慮した人々が、明治３４年（１９０２年）に完成させた樋門。弥富市輪中公園にある。,弥富市歴史民俗資料館,0567-65-4355,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,""
79,POINT(136.677967031648 35.138359862382),da020507,加藤牧場,愛西（あいさい）市にあるＪＡあいち海部フリーストール牛舎,ＪＡあいち海部（本店）,0567-28-6688,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 10:42:40
80,POINT(136.785237227556 35.1686819266218),da020508,ＪＡ海部東グリーンプラザ,JA海部東の新鮮な野菜や果物、苗などを販売,海部東農業協同組合グリーンプラザ,0567-23-7380,https://www.ja-amahigashi.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 10:45:43
81,POINT(136.770324336465 35.1764765860442),da020509,朝市かもり,津島市神守（かもり）地区では、新鮮な地場野菜やその加工品(漬物など）を販売しています。,JA海部東神守支店,0567-24-2121,http://www.ja-amahigashi.or.jp/farm/asaichi/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/07/27 10:49:24
82,POINT(136.746027345141 35.1125994670989),da020510,ＪＡあいち海部総合支援センター,ＪＡあいち海部総合支援センターは体験農場を併設し、農業を身近に体験することが出来ます。また、産地直売施設も併設しており、新鮮な地元産農産物を販売しています。,ＪＡあいち海部（本店）,0567-28-6688,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/21 13:36:24
83,POINT(136.752114868114 35.0824669006939),da020511,ＪＡあいち海部 鍋田カントリーエレベーター,弥富市にあるカントリーエレベーターでは、お米を保管している様子を見学できます。,JAあいち海部（本店）,0567-28-6688,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/03/05 16:08:34
84,POINT(136.711719616918 35.1644978602053),da020512,ＪＡあいち海部グリーンセンター津島店（愛菜耕房）,ＪＡあいち海部の特産物レンコン、イチゴを中心に地元産農産物や切花・苗を販売しています。,ＪＡあいち海部（津島店）,0567-28-6688,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/21 13:39:40
85,POINT(136.747158427804 35.1123780244617),da020513,JAあいち海部グリーンセンター十四山店（菜々耕房）,ＪＡあいち海部管内の地元産農産物や切花・苗を中心に販売しています。,ＪＡあいち海部（本店）,0567-28-6688,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/12/21 13:41:22
